model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
EquiformerV2 AD with Hessian training,46771,242,14,0.0072642592713236,0.0444572418928146
EquiformerV2 AD with Hessian training,12377,243,19,0.0043908357620239,0.0167196225374937
EquiformerV2 AD with Hessian training,19546,244,16,0.002198573667556,0.0146894194185733
EquiformerV2 AD with Hessian training,41943,245,14,0.0080465292558074,0.0314461663365364
EquiformerV2 AD with Hessian training,33736,246,10,0.00571129610762,0.0737608447670936
EquiformerV2 AD with Hessian training,8651,247,14,0.0073004835285246,0.0301686059683561
EquiformerV2 AD with Hessian training,42912,248,10,0.0500721409916877,0.1935018599033355
EquiformerV2 AD with Hessian training,44452,249,12,0.0099286148324608,0.0409095101058483
EquiformerV2 AD with Hessian training,27605,250,17,0.0359425991773605,0.0699841305613517
EquiformerV2 AD with Hessian training,9159,251,9,0.0427989698946476,0.3347180187702179
EquiformerV2 AD with Hessian training,36079,252,14,0.0049210237339138,0.0295888893306255
EquiformerV2 AD with Hessian training,32724,253,15,0.0079186977818608,0.0362318493425846
EquiformerV2 AD with Hessian training,46888,254,6,0.0207388494163751,0.5050415992736816
EquiformerV2 AD with Hessian training,35418,255,14,0.0044883489608764,0.019310962408781
EquiformerV2 AD with Hessian training,12510,256,14,0.0066890902817249,0.060695968568325
EquiformerV2 AD with Hessian training,36077,257,14,0.0073648509569466,0.0352486930787563
EquiformerV2 AD with Hessian training,31905,258,9,0.0072409668937325,0.2101495712995529
EquiformerV2 AD with Hessian training,18866,259,14,0.0058455602265894,0.0274151042103767
EquiformerV2 AD with Hessian training,19316,260,12,0.0076925223693251,0.046176541596651
EquiformerV2 AD with Hessian training,29376,261,14,0.0173360873013734,0.0649730563163757
EquiformerV2 AD with Hessian training,20088,262,15,0.0415913313627243,0.0869195014238357
EquiformerV2 AD with Hessian training,29899,263,19,0.0057096700184047,0.0165547840297222
EquiformerV2 AD with Hessian training,14866,264,16,0.0195317920297384,0.0569915510714054
EquiformerV2 AD with Hessian training,21643,265,12,0.0088737132027745,0.0484422445297241
EquiformerV2 AD with Hessian training,25707,266,12,0.0080590546131134,0.0392143540084362
EquiformerV2 AD with Hessian training,50184,267,15,0.0093473652377724,0.0410480350255966
EquiformerV2 AD with Hessian training,45146,268,13,0.0038552484475076,0.0330959931015968
EquiformerV2 AD with Hessian training,37482,269,14,0.0355658642947673,0.0689177140593528
EquiformerV2 AD with Hessian training,41729,270,13,0.0129660461097955,0.0577651634812355
EquiformerV2 AD with Hessian training,40260,271,15,0.0038101740647107,0.0202393122017383
EquiformerV2 AD with Hessian training,37291,272,10,0.011301152408123,0.3022709786891937
EquiformerV2 AD with Hessian training,15291,273,14,0.0160696785897016,0.0447492152452468
EquiformerV2 AD with Hessian training,10146,274,19,0.0056777731515467,0.020820265635848
EquiformerV2 AD with Hessian training,47868,275,14,0.0152404690161347,0.0731905326247215
EquiformerV2 AD with Hessian training,35428,276,12,0.0040354621596634,0.0405975095927715
EquiformerV2 AD with Hessian training,35617,277,11,0.0241940859705209,0.1179122179746627
EquiformerV2 AD with Hessian training,4344,278,12,0.0071562663652002,0.079582966864109
EquiformerV2 AD with Hessian training,23317,279,15,0.010150353424251,0.0410424806177616
EquiformerV2 AD with Hessian training,22383,280,16,0.0075121410191059,0.0316973552107811
EquiformerV2 AD with Hessian training,18790,281,14,0.0139441806823015,0.0552797578275203
EquiformerV2 AD with Hessian training,27521,282,14,0.0086725736036896,0.0392716526985168
EquiformerV2 AD with Hessian training,22325,283,12,0.0380323454737663,0.1178311258554458
EquiformerV2 AD with Hessian training,11933,284,12,0.0484059266746044,0.2039622515439987
EquiformerV2 AD with Hessian training,5754,285,13,0.0097947958856821,0.0682352036237716
EquiformerV2 AD with Hessian training,318,286,16,0.0049636801704764,0.0253971386700868
EquiformerV2 AD with Hessian training,21743,287,12,0.0226550363004207,0.0849942937493324
EquiformerV2 AD with Hessian training,26792,288,14,0.0075633767992258,0.0347871147096157
EquiformerV2 AD with Hessian training,19044,289,14,0.0074786744080483,0.0449673570692539
EquiformerV2 AD with Hessian training,42848,290,14,0.0061124535277485,0.0193545613437891
EquiformerV2 AD with Hessian training,32284,291,15,0.0087618296965956,0.0307298433035612
EquiformerV2 AD with Hessian training,21628,292,16,0.007042858749628,0.0440632663667202
EquiformerV2 AD with Hessian training,9798,293,12,0.0870345160365104,0.1970273852348327
EquiformerV2 AD with Hessian training,50297,294,13,0.0274693295359611,0.0867484137415885
EquiformerV2 AD with Hessian training,17574,295,14,0.0124367522075772,0.0513652972877025
EquiformerV2 AD with Hessian training,2917,296,13,0.0354162417352199,0.1137980297207832
EquiformerV2 AD with Hessian training,16151,297,17,0.0042043942958116,0.0193856507539749
EquiformerV2 AD with Hessian training,50646,298,11,0.0082922242581844,0.1467805355787277
EquiformerV2 AD with Hessian training,40081,299,18,0.0031766516622155,0.0111153265461325
EquiformerV2 AD with Hessian training,37180,300,15,0.0597365014255046,0.0916696190834045
EquiformerV2 AD with Hessian training,48701,301,13,0.0041729379445314,0.0334359370172023
EquiformerV2 AD with Hessian training,27290,302,13,0.0120027754455804,0.0577238574624061
EquiformerV2 AD with Hessian training,13294,303,16,0.0049742148257792,0.0190062224864959
EquiformerV2 AD with Hessian training,20005,304,16,0.0025214392226189,0.0136983329430222
EquiformerV2 AD with Hessian training,27301,305,12,0.0317112989723682,0.1096834242343902
EquiformerV2 AD with Hessian training,5253,306,14,0.0166427511721849,0.0994902849197387
EquiformerV2 AD with Hessian training,28813,307,12,0.0106496131047606,0.0542402155697345
EquiformerV2 AD with Hessian training,37139,308,12,0.0200226325541734,0.0604036226868629
EquiformerV2 AD with Hessian training,18392,309,12,0.0543262623250484,0.1137787476181984
EquiformerV2 AD with Hessian training,34349,310,17,0.0096779996529221,0.0283540561795234
EquiformerV2 AD with Hessian training,13482,311,10,0.0141566144302487,0.0898052379488945
EquiformerV2 AD with Hessian training,8411,312,16,0.0077850795350968,0.0241556577384471
EquiformerV2 AD with Hessian training,13671,313,15,0.0054625552147626,0.0214896202087402
EquiformerV2 AD with Hessian training,21572,314,11,0.0358160138130188,0.1548462808132171
EquiformerV2 AD with Hessian training,32950,315,14,0.0082529056817293,0.0343044586479663
EquiformerV2 AD with Hessian training,30742,316,12,0.0458918027579784,0.1442818641662597
