model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
Energy-force-only EquiformerV2 AD,33521,4450,16,0.0178134497255086,1.710785746574402
Energy-force-only EquiformerV2 AD,15890,4451,11,0.0266316849738359,2.301233291625977
Energy-force-only EquiformerV2 AD,9620,4452,13,0.0106349634006619,2.42574405670166
Energy-force-only EquiformerV2 AD,4715,4453,14,0.0196416657418012,1.8061814308166504
Energy-force-only EquiformerV2 AD,17068,4454,11,0.0085001159459352,2.8339784145355225
Energy-force-only EquiformerV2 AD,34990,4455,13,0.0305778738111257,1.728048324584961
Energy-force-only EquiformerV2 AD,33354,4456,14,0.0102695254608988,2.1497089862823486
Energy-force-only EquiformerV2 AD,44362,4457,13,0.0302892532199621,1.0940513610839844
Energy-force-only EquiformerV2 AD,8016,4458,12,0.0048333946615457,2.461310625076294
Energy-force-only EquiformerV2 AD,19608,4459,15,0.051432441920042,1.7913391590118408
Energy-force-only EquiformerV2 AD,33609,4460,9,0.0145210335031151,4.423431873321533
Energy-force-only EquiformerV2 AD,1231,4461,12,0.0049672834575176,2.2090611457824707
Energy-force-only EquiformerV2 AD,5413,4462,19,0.0072112586349248,1.1077561378479004
Energy-force-only EquiformerV2 AD,5029,4463,15,0.0557064600288867,1.2322516441345217
Energy-force-only EquiformerV2 AD,30735,4464,15,0.007200333289802,2.240818977355957
Energy-force-only EquiformerV2 AD,28421,4465,15,0.0065250545740127,1.89439857006073
Energy-force-only EquiformerV2 AD,19885,4466,15,0.0423100441694259,1.6362379789352417
Energy-force-only EquiformerV2 AD,3254,4467,13,0.0036779260262846,2.4632821083068848
Energy-force-only EquiformerV2 AD,33644,4468,16,0.0102484710514545,2.0060875415802
Energy-force-only EquiformerV2 AD,21049,4469,12,0.0305460058152675,2.386158227920532
Energy-force-only EquiformerV2 AD,37781,4470,9,0.0232799891382455,3.502558708190918
Energy-force-only EquiformerV2 AD,34857,4471,17,0.0428812876343727,1.4901288747787476
Energy-force-only EquiformerV2 AD,46928,4472,10,0.0093116983771324,3.1155331134796143
Energy-force-only EquiformerV2 AD,33489,4473,10,0.0093567483127117,2.907431125640869
Energy-force-only EquiformerV2 AD,50494,4474,14,0.0150243220850825,1.20490300655365
Energy-force-only EquiformerV2 AD,8681,4475,14,0.0250803586095571,1.5163630247116089
