Name	Atoms	Format	Source
chno_xyz/n055_pubchem_07_49224b5816	55	xyz	pubchem3d:534587:C19H34O2
chno_xyz/n055_pubchem_08_1a5ea51236	55	xyz	pubchem3d:6437207:C19H34O2
chno_xyz/n055_pubchem_09_cd8b704331	55	xyz	pubchem3d:5365663:C19H34O2
chno_xyz/n055_pubchem_10_2496d633d4	55	xyz	pubchem3d:5462988:C19H34O2
chno_xyz/n056_pubchem_01_41eff9c083	56	xyz	pubchem3d:46781856:C19H35NO
chno_xyz/n056_pubchem_02_0679fd3558	56	xyz	pubchem3d:91715829:C19H35NO
chno_xyz/n056_pubchem_03_ad7de21f41	56	xyz	pubchem3d:10266421:C19H35NO
chno_xyz/n056_pubchem_04_95acee7de1	56	xyz	pubchem3d:199227:C19H35NO
chno_xyz/n056_pubchem_05_ee3544631b	56	xyz	pubchem3d:3040987:C19H35NO
chno_xyz/n056_pubchem_06_5988b8111b	56	xyz	pubchem3d:3040988:C19H35NO
chno_xyz/n056_pubchem_07_56c6a0fd9e	56	xyz	pubchem3d:3040989:C19H35NO
chno_xyz/n056_pubchem_08_91987b7faf	56	xyz	pubchem3d:131769924:C19H35NO
chno_xyz/n056_pubchem_09_84f4f79063	56	xyz	pubchem3d:44283991:C19H35NO
chno_xyz/n056_pubchem_10_ee5527efa4	56	xyz	pubchem3d:44284111:C19H35NO
chno_xyz/n057_pubchem_01_e0f136ae4e	57	xyz	pubchem3d:3732278:C19H36N2
chno_xyz/n057_pubchem_02_7376d129cf	57	xyz	pubchem3d:16092093:C19H36N2
chno_xyz/n057_pubchem_03_00f0023b44	57	xyz	pubchem3d:44598132:C19H36N2
chno_xyz/n057_pubchem_04_9e73667af4	57	xyz	pubchem3d:65956:C19H36N2
chno_xyz/n057_pubchem_05_170f1834a5	57	xyz	pubchem3d:2855628:C19H36N2
chno_xyz/n057_pubchem_06_a60eb6f81e	57	xyz	pubchem3d:90126666:C19H36N2
chno_xyz/n057_pubchem_07_8351675e3e	57	xyz	pubchem3d:6482274:C19H36N2
chno_xyz/n057_pubchem_08_27044f327b	57	xyz	pubchem3d:116269:C19H36N2
chno_xyz/n057_pubchem_09_d8c5182e70	57	xyz	pubchem3d:156021030:C19H36N2
chno_xyz/n057_pubchem_10_e4b6ba3d4d	57	xyz	pubchem3d:12415614:C19H36N2
